,Bath,Bed,Half-bath,Price,Square_Feet,Zip_code
7259,2,3,1,625000,1471,95228
7260,2,3,0,415000,1284,92359
7261,1,3,1,395000,1092,95437
7262,3,4,0,355000,2439,93536
7263,2,4,0,348900,2100,92345
7264,8,5,0,13999000,9659,91302
7265,7,6,2,7999950,10285,91361
7266,9,7,0,5488000,8467,91008
7267,3,4,1,4995000,4016,92649
7268,4,5,0,3775000,4200,90266
7269,4,4,1,3748000,4333,92657
7270,7,7,0,3100000,5577,90704
7271,7,7,0,3100000,5577,90704
7272,6,6,1,2500000,8194,92270
7273,5,4,1,2250000,7700,92064
7274,4,5,1,2069000,5475,92675
7275,3,3,0,1774000,2461,90004
7276,3,3,1,1499000,4739,92264
7277,4,4,1,1265000,4025,92253
7278,3,4,0,860000,3821,92503
7279,3,5,1,850000,3900,93730
7280,3,5,0,829000,3653,91739
7281,3,5,0,829000,3653,91739
7282,3,3,1,814747,3040,92028
7283,2,3,0,800000,2410,92879
7284,3,5,0,675000,2607,90703
7285,3,3,0,615000,1654,93012
7286,3,3,0,346000,2727,93277
7287,2,3,0,132500,1592,93240
